RUN	bank.CreateAccountSimulation	createaccountsimulation	1593599673367	 	3.3.1
USER	Create account	92	START	1593599680099	1593599680099
USER	Create account	93	START	1593599680104	1593599680104
USER	Create account	95	START	1593599680104	1593599680104
USER	Create account	94	START	1593599680104	1593599680104
USER	Create account	97	START	1593599680115	1593599680115
USER	Create account	96	START	1593599680115	1593599680115
USER	Create account	98	START	1593599680115	1593599680115
USER	Create account	99	START	1593599680125	1593599680125
USER	Create account	101	START	1593599680125	1593599680125
USER	Create account	100	START	1593599680125	1593599680125
USER	Create account	104	START	1593599680136	1593599680136
USER	Create account	102	START	1593599680136	1593599680136
USER	Create account	103	START	1593599680136	1593599680136
USER	Create account	105	START	1593599680146	1593599680146
USER	Create account	106	START	1593599680146	1593599680146
USER	Create account	107	START	1593599680146	1593599680146
USER	Create account	108	START	1593599680157	1593599680157
USER	Create account	110	START	1593599680157	1593599680157
USER	Create account	109	START	1593599680157	1593599680157
USER	Create account	111	START	1593599680168	1593599680168
USER	Create account	112	START	1593599680168	1593599680168
USER	Create account	113	START	1593599680168	1593599680168
USER	Create account	115	START	1593599680178	1593599680178
USER	Create account	116	START	1593599680178	1593599680178
USER	Create account	114	START	1593599680178	1593599680178
USER	Create account	117	START	1593599680189	1593599680189
USER	Create account	119	START	1593599680189	1593599680189
USER	Create account	118	START	1593599680189	1593599680189
USER	Create account	121	START	1593599680194	1593599680194
USER	Create account	122	START	1593599680194	1593599680194
USER	Create account	120	START	1593599680194	1593599680194
USER	Create account	125	START	1593599680204	1593599680204
USER	Create account	124	START	1593599680204	1593599680204
USER	Create account	123	START	1593599680204	1593599680204
USER	Create account	127	START	1593599680214	1593599680214
USER	Create account	128	START	1593599680214	1593599680214
USER	Create account	126	START	1593599680214	1593599680214
USER	Create account	131	START	1593599680224	1593599680224
USER	Create account	130	START	1593599680224	1593599680224
USER	Create account	132	START	1593599680235	1593599680235
USER	Create account	134	START	1593599680235	1593599680235
USER	Create account	133	START	1593599680235	1593599680235
USER	Create account	129	START	1593599680224	1593599680224
REQUEST	21		Create new account	1593599679855	1593599680242	OK	 
USER	Create account	21	END	1593599679854	1593599680258
USER	Create account	139	START	1593599680259	1593599680259
USER	Create account	137	START	1593599680259	1593599680259
USER	Create account	138	START	1593599680259	1593599680259
USER	Create account	135	START	1593599680259	1593599680259
REQUEST	23		Create new account	1593599679867	1593599680259	OK	 
REQUEST	22		Create new account	1593599679867	1593599680260	OK	 
USER	Create account	140	START	1593599680259	1593599680259
USER	Create account	23	END	1593599679865	1593599680260
USER	Create account	136	START	1593599680259	1593599680259
USER	Create account	22	END	1593599679865	1593599680261
USER	Create account	143	START	1593599680268	1593599680268
USER	Create account	142	START	1593599680268	1593599680268
USER	Create account	141	START	1593599680268	1593599680268
REQUEST	27		Create new account	1593599679877	1593599680275	OK	 
USER	Create account	27	END	1593599679875	1593599680276
USER	Create account	144	START	1593599680279	1593599680279
USER	Create account	145	START	1593599680279	1593599680279
USER	Create account	146	START	1593599680279	1593599680279
REQUEST	24		Create new account	1593599679866	1593599680284	OK	 
USER	Create account	24	END	1593599679865	1593599680285
USER	Create account	148	START	1593599680289	1593599680289
USER	Create account	149	START	1593599680289	1593599680289
USER	Create account	147	START	1593599680289	1593599680289
USER	Create account	150	START	1593599680294	1593599680294
USER	Create account	151	START	1593599680294	1593599680294
USER	Create account	152	START	1593599680294	1593599680294
REQUEST	30		Create new account	1593599679887	1593599680303	OK	 
REQUEST	25		Create new account	1593599679877	1593599680303	OK	 
USER	Create account	154	START	1593599680304	1593599680304
USER	Create account	153	START	1593599680304	1593599680304
USER	Create account	25	END	1593599679875	1593599680304
USER	Create account	155	START	1593599680304	1593599680304
USER	Create account	30	END	1593599679886	1593599680304
USER	Create account	156	START	1593599680315	1593599680315
USER	Create account	158	START	1593599680315	1593599680315
USER	Create account	157	START	1593599680315	1593599680315
REQUEST	28		Create new account	1593599679887	1593599680319	OK	 
USER	Create account	28	END	1593599679886	1593599680320
USER	Create account	160	START	1593599680325	1593599680325
USER	Create account	159	START	1593599680325	1593599680325
USER	Create account	161	START	1593599680325	1593599680325
USER	Create account	164	START	1593599680336	1593599680336
USER	Create account	163	START	1593599680336	1593599680336
USER	Create account	162	START	1593599680336	1593599680336
REQUEST	26		Create new account	1593599679876	1593599680344	OK	 
REQUEST	29		Create new account	1593599679888	1593599680356	OK	 
USER	Create account	26	END	1593599679875	1593599680356
USER	Create account	166	START	1593599680356	1593599680356
USER	Create account	29	END	1593599679886	1593599680357
USER	Create account	168	START	1593599680356	1593599680356
REQUEST	32		Create new account	1593599679899	1593599680357	OK	 
USER	Create account	170	START	1593599680357	1593599680357
USER	Create account	165	START	1593599680356	1593599680356
USER	Create account	32	END	1593599679897	1593599680358
USER	Create account	167	START	1593599680356	1593599680356
USER	Create account	169	START	1593599680356	1593599680356
REQUEST	31		Create new account	1593599679899	1593599680366	OK	 
USER	Create account	171	START	1593599680367	1593599680367
USER	Create account	172	START	1593599680367	1593599680367
USER	Create account	173	START	1593599680367	1593599680367
USER	Create account	31	END	1593599679897	1593599680367
