RUN	bank.TransactionsSimulation	transactionssimulation	1593600116115	 	3.3.1
REQUEST	24		Transaction	1593600122657	1593600123037	OK	 
USER	Transactions	24	END	1593600122655	1593600123038
REQUEST	23		Transaction	1593600122656	1593600123040	OK	 
USER	Transactions	23	END	1593600122655	1593600123041
USER	Transactions	82	START	1593600123045	1593600123045
USER	Transactions	83	START	1593600123055	1593600123055
USER	Transactions	84	START	1593600123055	1593600123055
REQUEST	27		Transaction	1593600122657	1593600123059	OK	 
USER	Transactions	27	END	1593600122656	1593600123060
USER	Transactions	85	START	1593600123066	1593600123066
USER	Transactions	86	START	1593600123076	1593600123076
USER	Transactions	87	START	1593600123076	1593600123076
REQUEST	25		Transaction	1593600122667	1593600123079	OK	 
USER	Transactions	25	END	1593600122666	1593600123081
USER	Transactions	88	START	1593600123087	1593600123087
REQUEST	26		Transaction	1593600122678	1593600123089	OK	 
USER	Transactions	89	START	1593600123098	1593600123098
USER	Transactions	90	START	1593600123098	1593600123098
USER	Transactions	26	END	1593600122677	1593600123098
REQUEST	30		Transaction	1593600122699	1593600123098	OK	 
USER	Transactions	30	END	1593600122698	1593600123099
REQUEST	29		Transaction	1593600122699	1593600123107	OK	 
USER	Transactions	29	END	1593600122698	1593600123109
USER	Transactions	91	START	1593600123108	1593600123108
USER	Transactions	93	START	1593600123119	1593600123119
USER	Transactions	92	START	1593600123119	1593600123119
USER	Transactions	94	START	1593600123124	1593600123124
REQUEST	28		Transaction	1593600122688	1593600123127	OK	 
USER	Transactions	28	END	1593600122687	1593600123128
USER	Transactions	95	START	1593600123134	1593600123134
USER	Transactions	96	START	1593600123134	1593600123134
REQUEST	31		Transaction	1593600122709	1593600123140	OK	 
REQUEST	33		Transaction	1593600122721	1593600123140	OK	 
USER	Transactions	31	END	1593600122709	1593600123141
USER	Transactions	33	END	1593600122719	1593600123141
USER	Transactions	97	START	1593600123144	1593600123144
USER	Transactions	98	START	1593600123155	1593600123155
USER	Transactions	99	START	1593600123155	1593600123155
REQUEST	32		Transaction	1593600122721	1593600123155	OK	 
USER	Transactions	32	END	1593600122719	1593600123156
USER	Transactions	100	START	1593600123166	1593600123166
REQUEST	34		Transaction	1593600122724	1593600123173	OK	 
USER	Transactions	34	END	1593600122724	1593600123174
REQUEST	35		Transaction	1593600122735	1593600123175	OK	 
USER	Transactions	35	END	1593600122734	1593600123176
USER	Transactions	101	START	1593600123176	1593600123176
USER	Transactions	102	START	1593600123176	1593600123176
REQUEST	37		Transaction	1593600122745	1593600123185	OK	 
USER	Transactions	37	END	1593600122744	1593600123186
USER	Transactions	103	START	1593600123187	1593600123187
USER	Transactions	104	START	1593600123198	1593600123198
USER	Transactions	105	START	1593600123198	1593600123198
REQUEST	36		Transaction	1593600122735	1593600123199	OK	 
USER	Transactions	36	END	1593600122734	1593600123200
USER	Transactions	106	START	1593600123208	1593600123208
REQUEST	38		Transaction	1593600122756	1593600123212	OK	 
USER	Transactions	38	END	1593600122755	1593600123214
USER	Transactions	108	START	1593600123219	1593600123219
USER	Transactions	107	START	1593600123219	1593600123219
USER	Transactions	109	START	1593600123224	1593600123224
REQUEST	39		Transaction	1593600122757	1593600123224	OK	 
USER	Transactions	39	END	1593600122755	1593600123225
USER	Transactions	111	START	1593600123234	1593600123234
USER	Transactions	110	START	1593600123234	1593600123234
REQUEST	40		Transaction	1593600122766	1593600123243	OK	 
REQUEST	41		Transaction	1593600122777	1593600123257	OK	 
USER	Transactions	40	END	1593600122766	1593600123257
REQUEST	42		Transaction	1593600122777	1593600123258	OK	 
USER	Transactions	41	END	1593600122776	1593600123258
USER	Transactions	113	START	1593600123258	1593600123258
USER	Transactions	112	START	1593600123258	1593600123258
USER	Transactions	42	END	1593600122776	1593600123258
USER	Transactions	114	START	1593600123258	1593600123258
USER	Transactions	115	START	1593600123268	1593600123268
REQUEST	43		Transaction	1593600122788	1593600123271	OK	 
USER	Transactions	43	END	1593600122787	1593600123272
REQUEST	44		Transaction	1593600122799	1593600123274	OK	 
USER	Transactions	44	END	1593600122797	1593600123275
USER	Transactions	117	START	1593600123279	1593600123279
USER	Transactions	116	START	1593600123279	1593600123279
USER	Transactions	118	START	1593600123284	1593600123284
USER	Transactions	120	START	1593600123294	1593600123294
USER	Transactions	119	START	1593600123294	1593600123294
REQUEST	46		Transaction	1593600122809	1593600123301	OK	 
USER	Transactions	46	END	1593600122808	1593600123301
REQUEST	45		Transaction	1593600122798	1593600123303	OK	 
USER	Transactions	45	END	1593600122797	1593600123304
USER	Transactions	121	START	1593600123305	1593600123305
REQUEST	48		Transaction	1593600122820	1593600123313	OK	 
USER	Transactions	48	END	1593600122819	1593600123314
USER	Transactions	123	START	1593600123316	1593600123316
USER	Transactions	122	START	1593600123316	1593600123316
REQUEST	49		Transaction	1593600122824	1593600123322	OK	 
USER	Transactions	49	END	1593600122824	1593600123323
USER	Transactions	124	START	1593600123327	1593600123327
USER	Transactions	126	START	1593600123337	1593600123337
USER	Transactions	125	START	1593600123337	1593600123337
USER	Transactions	127	START	1593600123348	1593600123348
REQUEST	47		Transaction	1593600122820	1593600123351	OK	 
USER	Transactions	47	END	1593600122819	1593600123352
REQUEST	50		Transaction	1593600122836	1593600123352	OK	 
USER	Transactions	50	END	1593600122834	1593600123353
USER	Transactions	128	START	1593600123358	1593600123358
USER	Transactions	129	START	1593600123358	1593600123358
REQUEST	51		Transaction	1593600122836	1593600123367	OK	 
USER	Transactions	51	END	1593600122834	1593600123368
USER	Transactions	130	START	1593600123369	1593600123369
USER	Transactions	132	START	1593600123374	1593600123374
USER	Transactions	131	START	1593600123374	1593600123374
REQUEST	52		Transaction	1593600122846	1593600123375	OK	 
USER	Transactions	52	END	1593600122845	1593600123376
USER	Transactions	133	START	1593600123384	1593600123384
REQUEST	53		Transaction	1593600122857	1593600123391	OK	 
USER	Transactions	53	END	1593600122857	1593600123392
USER	Transactions	134	START	1593600123394	1593600123394
USER	Transactions	135	START	1593600123394	1593600123394
REQUEST	55		Transaction	1593600122868	1593600123401	OK	 
USER	Transactions	55	END	1593600122867	1593600123402
USER	Transactions	136	START	1593600123404	1593600123404
REQUEST	54		Transaction	1593600122858	1593600123413	OK	 
USER	Transactions	54	END	1593600122857	1593600123414
USER	Transactions	138	START	1593600123415	1593600123415
USER	Transactions	137	START	1593600123415	1593600123415
REQUEST	57		Transaction	1593600122879	1593600123417	OK	 
USER	Transactions	57	END	1593600122878	1593600123418
USER	Transactions	139	START	1593600123426	1593600123426
REQUEST	56		Transaction	1593600122879	1593600123435	OK	 
USER	Transactions	56	END	1593600122878	1593600123436
USER	Transactions	140	START	1593600123436	1593600123436
USER	Transactions	141	START	1593600123436	1593600123436
USER	Transactions	142	START	1593600123446	1593600123446
REQUEST	58		Transaction	1593600122889	1593600123450	OK	 
USER	Transactions	58	END	1593600122888	1593600123450
USER	Transactions	143	START	1593600123456	1593600123456
USER	Transactions	144	START	1593600123456	1593600123456
USER	Transactions	145	START	1593600123467	1593600123467
REQUEST	61		Transaction	1593600122909	1593600123471	OK	 
USER	Transactions	61	END	1593600122908	1593600123472
REQUEST	59		Transaction	1593600122899	1593600123472	OK	 
USER	Transactions	59	END	1593600122898	1593600123473
USER	Transactions	146	START	1593600123478	1593600123478
USER	Transactions	147	START	1593600123478	1593600123478
REQUEST	60		Transaction	1593600122899	1593600123484	OK	 
USER	Transactions	60	END	1593600122898	1593600123485
USER	Transactions	148	START	1593600123489	1593600123489
USER	Transactions	150	START	1593600123494	1593600123494
USER	Transactions	149	START	1593600123494	1593600123494
USER	Transactions	151	START	1593600123505	1593600123505
REQUEST	63		Transaction	1593600122920	1593600123506	OK	 
USER	Transactions	63	END	1593600122919	1593600123506
USER	Transactions	153	START	1593600123515	1593600123515
USER	Transactions	152	START	1593600123515	1593600123515
REQUEST	62		Transaction	1593600122920	1593600123520	OK	 
USER	Transactions	62	END	1593600122919	1593600123521
REQUEST	65		Transaction	1593600122935	1593600123522	OK	 
USER	Transactions	65	END	1593600122934	1593600123523
USER	Transactions	154	START	1593600123526	1593600123526
REQUEST	66		Transaction	1593600122935	1593600123532	OK	 
USER	Transactions	66	END	1593600122934	1593600123532
USER	Transactions	155	START	1593600123536	1593600123536
USER	Transactions	156	START	1593600123536	1593600123536
USER	Transactions	157	START	1593600123546	1593600123546
REQUEST	64		Transaction	1593600122924	1593600123553	OK	 
USER	Transactions	64	END	1593600122924	1593600123554
USER	Transactions	159	START	1593600123557	1593600123557
USER	Transactions	158	START	1593600123557	1593600123557
REQUEST	67		Transaction	1593600122945	1593600123563	OK	 
USER	Transactions	67	END	1593600122944	1593600123564
REQUEST	68		Transaction	1593600122956	1593600123565	OK	 
USER	Transactions	68	END	1593600122955	1593600123565
USER	Transactions	160	START	1593600123567	1593600123567
USER	Transactions	162	START	1593600123577	1593600123577
USER	Transactions	161	START	1593600123577	1593600123577
REQUEST	69		Transaction	1593600122955	1593600123580	OK	 
USER	Transactions	69	END	1593600122955	1593600123581
USER	Transactions	163	START	1593600123587	1593600123587
REQUEST	70		Transaction	1593600122967	1593600123592	OK	 
USER	Transactions	70	END	1593600122965	1593600123593
USER	Transactions	165	START	1593600123598	1593600123598
USER	Transactions	164	START	1593600123598	1593600123598
USER	Transactions	166	START	1593600123608	1593600123608
REQUEST	71		Transaction	1593600122977	1593600123610	OK	 
REQUEST	73		Transaction	1593600122987	1593600123610	OK	 
USER	Transactions	71	END	1593600122976	1593600123611
USER	Transactions	73	END	1593600122986	1593600123611
USER	Transactions	167	START	1593600123618	1593600123618
USER	Transactions	168	START	1593600123618	1593600123618
USER	Transactions	169	START	1593600123629	1593600123629
USER	Transactions	171	START	1593600123634	1593600123634
USER	Transactions	170	START	1593600123634	1593600123634
REQUEST	75		Transaction	1593600122998	1593600123640	OK	 
USER	Transactions	75	END	1593600122997	1593600123640
REQUEST	72		Transaction	1593600122977	1593600123643	OK	 
USER	Transactions	72	END	1593600122976	1593600123643
USER	Transactions	172	START	1593600123644	1593600123644
REQUEST	74		Transaction	1593600122998	1593600123654	OK	 
USER	Transactions	174	START	1593600123654	1593600123654
USER	Transactions	173	START	1593600123654	1593600123654
USER	Transactions	74	END	1593600122997	1593600123654
REQUEST	76		Transaction	1593600123009	1593600123661	OK	 
USER	Transactions	76	END	1593600123008	1593600123661
USER	Transactions	175	START	1593600123665	1593600123665
USER	Transactions	176	START	1593600123675	1593600123675
USER	Transactions	177	START	1593600123675	1593600123675
REQUEST	78		Transaction	1593600123020	1593600123683	OK	 
USER	Transactions	78	END	1593600123019	1593600123684
USER	Transactions	178	START	1593600123686	1593600123686
REQUEST	77		Transaction	1593600123020	1593600123686	OK	 
USER	Transactions	77	END	1593600123019	1593600123687
REQUEST	79		Transaction	1593600123024	1593600123695	OK	 
USER	Transactions	79	END	1593600123024	1593600123695
USER	Transactions	179	START	1593600123696	1593600123696
USER	Transactions	180	START	1593600123696	1593600123696
REQUEST	81		Transaction	1593600123035	1593600123701	OK	 
USER	Transactions	81	END	1593600123034	1593600123702
USER	Transactions	181	START	1593600123707	1593600123707
USER	Transactions	182	START	1593600123718	1593600123718
USER	Transactions	183	START	1593600123718	1593600123718
REQUEST	80		Transaction	1593600123035	1593600123727	OK	 
USER	Transactions	80	END	1593600123034	1593600123727
USER	Transactions	184	START	1593600123728	1593600123728
REQUEST	82		Transaction	1593600123046	1593600123735	OK	 
USER	Transactions	82	END	1593600123045	1593600123736
USER	Transactions	185	START	1593600123739	1593600123739
USER	Transactions	186	START	1593600123739	1593600123739
REQUEST	84		Transaction	1593600123056	1593600123739	OK	 
USER	Transactions	84	END	1593600123055	1593600123740
USER	Transactions	187	START	1593600123744	1593600123744
REQUEST	83		Transaction	1593600123056	1593600123748	OK	 
USER	Transactions	83	END	1593600123055	1593600123749
USER	Transactions	189	START	1593600123754	1593600123754
USER	Transactions	188	START	1593600123754	1593600123754
USER	Transactions	190	START	1593600123765	1593600123765
REQUEST	85		Transaction	1593600123067	1593600123772	OK	 
USER	Transactions	85	END	1593600123066	1593600123773
USER	Transactions	192	START	1593600123775	1593600123775
USER	Transactions	191	START	1593600123775	1593600123775
REQUEST	86		Transaction	1593600123077	1593600123777	OK	 
USER	Transactions	86	END	1593600123076	1593600123778
REQUEST	87		Transaction	1593600123077	1593600123785	OK	 
USER	Transactions	193	START	1593600123786	1593600123786
USER	Transactions	87	END	1593600123076	1593600123786
REQUEST	90		Transaction	1593600123099	1593600123789	OK	 
USER	Transactions	90	END	1593600123098	1593600123790
USER	Transactions	194	START	1593600123796	1593600123796
USER	Transactions	195	START	1593600123796	1593600123796
USER	Transactions	196	START	1593600123807	1593600123807
USER	Transactions	198	START	1593600123818	1593600123818
USER	Transactions	197	START	1593600123818	1593600123818
REQUEST	88		Transaction	1593600123088	1593600123818	OK	 
USER	Transactions	88	END	1593600123087	1593600123818
REQUEST	89		Transaction	1593600123099	1593600123821	OK	 
USER	Transactions	89	END	1593600123098	1593600123822
REQUEST	91		Transaction	1593600123109	1593600123823	OK	 
USER	Transactions	91	END	1593600123108	1593600123824
USER	Transactions	199	START	1593600123828	1593600123828
USER	Transactions	201	START	1593600123839	1593600123839
REQUEST	92		Transaction	1593600123120	1593600123842	OK	 
USER	Transactions	92	END	1593600123119	1593600123843
USER	Transactions	203	START	1593600123854	1593600123854
USER	Transactions	204	START	1593600123854	1593600123854
USER	Transactions	200	START	1593600123839	1593600123839
REQUEST	93		Transaction	1593600123120	1593600123860	OK	 
USER	Transactions	93	END	1593600123119	1593600123861
USER	Transactions	205	START	1593600123865	1593600123865
REQUEST	94		Transaction	1593600123124	1593600123865	OK	 
USER	Transactions	94	END	1593600123124	1593600123866
USER	Transactions	202	START	1593600123844	1593600123844
REQUEST	95		Transaction	1593600123135	1593600123874	OK	 
USER	Transactions	95	END	1593600123134	1593600123875
USER	Transactions	207	START	1593600123875	1593600123875
USER	Transactions	206	START	1593600123875	1593600123875
REQUEST	96		Transaction	1593600123135	1593600123881	OK	 
USER	Transactions	96	END	1593600123134	1593600123882
USER	Transactions	208	START	1593600123886	1593600123886
USER	Transactions	209	START	1593600123897	1593600123897
USER	Transactions	210	START	1593600123897	1593600123897
REQUEST	98		Transaction	1593600123156	1593600123897	OK	 
USER	Transactions	98	END	1593600123155	1593600123898
USER	Transactions	211	START	1593600123907	1593600123907
REQUEST	99		Transaction	1593600123156	1593600123910	OK	 
USER	Transactions	99	END	1593600123155	1593600123910
USER	Transactions	213	START	1593600123917	1593600123917
USER	Transactions	212	START	1593600123917	1593600123917
REQUEST	102		Transaction	1593600123177	1593600123919	OK	 
REQUEST	101		Transaction	1593600123177	1593600123920	OK	 
USER	Transactions	102	END	1593600123176	1593600123920
USER	Transactions	101	END	1593600123176	1593600123920
USER	Transactions	214	START	1593600123928	1593600123928
USER	Transactions	216	START	1593600123939	1593600123939
USER	Transactions	215	START	1593600123939	1593600123939
REQUEST	100		Transaction	1593600123167	1593600123943	OK	 
USER	Transactions	100	END	1593600123166	1593600123944
USER	Transactions	217	START	1593600123944	1593600123944
REQUEST	97		Transaction	1593600123145	1593600123953	OK	 
USER	Transactions	219	START	1593600123954	1593600123954
USER	Transactions	218	START	1593600123954	1593600123954
USER	Transactions	97	END	1593600123144	1593600123954
REQUEST	103		Transaction	1593600123188	1593600123959	OK	 
USER	Transactions	103	END	1593600123187	1593600123960
REQUEST	104		Transaction	1593600123199	1593600123963	OK	 
USER	Transactions	104	END	1593600123198	1593600123964
USER	Transactions	220	START	1593600123964	1593600123964
USER	Transactions	222	START	1593600123974	1593600123974
USER	Transactions	221	START	1593600123974	1593600123974
USER	Transactions	223	START	1593600123985	1593600123985
USER	Transactions	225	START	1593600123996	1593600123996
USER	Transactions	224	START	1593600123996	1593600123996
USER	Transactions	226	START	1593600124006	1593600124006
REQUEST	105		Transaction	1593600123199	1593600124012	OK	 
USER	Transactions	105	END	1593600123198	1593600124013
REQUEST	106		Transaction	1593600123209	1593600124016	OK	 
USER	Transactions	227	START	1593600124016	1593600124016
