RUN	bank.TotalLoadSimulation	totalloadsimulation	1593599850915	 	3.3.1
USER	Bank Load	432	START	1593599865725	1593599865725
REQUEST	119		Transaction	1593599862142	1593599865743	OK	 
USER	Bank Load	433	START	1593599865746	1593599865746
REQUEST	242		Get Balance	1593599861939	1593599865767	OK	 
USER	Bank Load	434	START	1593599865768	1593599865768
REQUEST	44		Create new account	1593599862155	1593599865783	OK	 
USER	Bank Load	435	START	1593599865783	1593599865783
USER	Bank Load	44	END	1593599857966	1593599865783
REQUEST	241		Get Balance	1593599861918	1593599865788	OK	 
USER	Bank Load	436	START	1593599865804	1593599865804
USER	Bank Load	437	START	1593599865825	1593599865825
REQUEST	244		Get Balance	1593599861975	1593599865829	OK	 
REQUEST	43		Create new account	1593599862196	1593599865830	OK	 
USER	Bank Load	43	END	1593599857945	1593599865831
REQUEST	243		Get Balance	1593599861954	1593599865832	OK	 
USER	Bank Load	438	START	1593599865845	1593599865845
USER	Bank Load	439	START	1593599865866	1593599865866
REQUEST	120		Transaction	1593599862204	1593599865882	OK	 
USER	Bank Load	440	START	1593599865887	1593599865887
REQUEST	121		Transaction	1593599862248	1593599865901	OK	 
USER	Bank Load	441	START	1593599865908	1593599865908
REQUEST	245		Get Balance	1593599861996	1593599865913	OK	 
REQUEST	246		Get Balance	1593599862017	1593599865914	OK	 
USER	Bank Load	442	START	1593599865924	1593599865924
REQUEST	122		Transaction	1593599862275	1593599865942	OK	 
USER	Bank Load	443	START	1593599865945	1593599865945
REQUEST	247		Get Balance	1593599862038	1593599865950	OK	 
USER	Bank Load	444	START	1593599865966	1593599865966
REQUEST	248		Get Balance	1593599862059	1593599865978	OK	 
REQUEST	124		Transaction	1593599862332	1593599865981	OK	 
USER	Bank Load	445	START	1593599865988	1593599865988
REQUEST	249		Get Balance	1593599862089	1593599866001	OK	 
USER	Bank Load	446	START	1593599866005	1593599866005
REQUEST	123		Transaction	1593599862335	1593599866009	OK	 
REQUEST	250		Get Balance	1593599862095	1593599866019	OK	 
USER	Bank Load	447	START	1593599866025	1593599866025
REQUEST	125		Transaction	1593599862349	1593599866034	OK	 
REQUEST	251		Get Balance	1593599862116	1593599866037	OK	 
REQUEST	252		Get Balance	1593599862137	1593599866041	OK	 
USER	Bank Load	448	START	1593599866047	1593599866047
REQUEST	253		Get Balance	1593599862158	1593599866053	OK	 
USER	Bank Load	449	START	1593599866067	1593599866067
REQUEST	254		Get Balance	1593599862173	1593599866074	OK	 
USER	Bank Load	450	START	1593599866083	1593599866083
REQUEST	126		Transaction	1593599862397	1593599866090	OK	 
REQUEST	127		Transaction	1593599862431	1593599866094	OK	 
REQUEST	255		Get Balance	1593599862195	1593599866102	OK	 
USER	Bank Load	451	START	1593599866103	1593599866103
USER	Bank Load	452	START	1593599866125	1593599866125
REQUEST	128		Transaction	1593599862450	1593599866132	OK	 
REQUEST	45		Create new account	1593599862452	1593599866137	OK	 
USER	Bank Load	45	END	1593599857987	1593599866137
REQUEST	256		Get Balance	1593599862215	1593599866142	OK	 
USER	Bank Load	453	START	1593599866146	1593599866146
REQUEST	129		Transaction	1593599862449	1593599866150	OK	 
USER	Bank Load	454	START	1593599866167	1593599866167
USER	Bank Load	455	START	1593599866188	1593599866188
REQUEST	258		Get Balance	1593599862256	1593599866195	OK	 
REQUEST	257		Get Balance	1593599862236	1593599866197	OK	 
REQUEST	130		Transaction	1593599862494	1593599866202	OK	 
USER	Bank Load	456	START	1593599866204	1593599866204
REQUEST	131		Transaction	1593599862529	1593599866219	OK	 
USER	Bank Load	457	START	1593599866225	1593599866225
REQUEST	259		Get Balance	1593599862278	1593599866232	OK	 
USER	Bank Load	458	START	1593599866246	1593599866246
REQUEST	261		Get Balance	1593599862314	1593599866258	OK	 
USER	Bank Load	459	START	1593599866267	1593599866267
REQUEST	260		Get Balance	1593599862293	1593599866271	OK	 
REQUEST	47		Create new account	1593599862560	1593599866278	OK	 
USER	Bank Load	47	END	1593599858023	1593599866279
REQUEST	46		Create new account	1593599862560	1593599866283	OK	 
USER	Bank Load	46	END	1593599858008	1593599866284
USER	Bank Load	460	START	1593599866289	1593599866289
USER	Bank Load	461	START	1593599866303	1593599866303
REQUEST	132		Transaction	1593599862562	1593599866311	OK	 
REQUEST	262		Get Balance	1593599862335	1593599866311	OK	 
REQUEST	263		Get Balance	1593599862357	1593599866315	OK	 
REQUEST	133		Transaction	1593599862583	1593599866324	OK	 
USER	Bank Load	462	START	1593599866324	1593599866324
USER	Bank Load	463	START	1593599866345	1593599866345
REQUEST	264		Get Balance	1593599862378	1593599866360	OK	 
REQUEST	134		Transaction	1593599862630	1593599866366	OK	 
USER	Bank Load	464	START	1593599866366	1593599866366
REQUEST	136		Transaction	1593599862632	1593599866379	OK	 
USER	Bank Load	465	START	1593599866388	1593599866388
REQUEST	135		Transaction	1593599862636	1593599866397	OK	 
REQUEST	265		Get Balance	1593599862393	1593599866399	OK	 
USER	Bank Load	466	START	1593599866403	1593599866403
REQUEST	266		Get Balance	1593599862414	1593599866404	OK	 
REQUEST	48		Create new account	1593599862662	1593599866419	OK	 
USER	Bank Load	48	END	1593599858043	1593599866420
USER	Bank Load	467	START	1593599866423	1593599866423
REQUEST	267		Get Balance	1593599862436	1593599866426	OK	 
USER	Bank Load	468	START	1593599866444	1593599866444
REQUEST	138		Transaction	1593599862686	1593599866451	OK	 
REQUEST	139		Transaction	1593599862683	1593599866458	OK	 
REQUEST	268		Get Balance	1593599862456	1593599866461	OK	 
USER	Bank Load	469	START	1593599866466	1593599866466
REQUEST	137		Transaction	1593599862691	1593599866472	OK	 
USER	Bank Load	470	START	1593599866487	1593599866487
REQUEST	49		Create new account	1593599862723	1593599866499	OK	 
USER	Bank Load	49	END	1593599858064	1593599866499
REQUEST	269		Get Balance	1593599862478	1593599866500	OK	 
USER	Bank Load	471	START	1593599866503	1593599866503
REQUEST	270		Get Balance	1593599862494	1593599866517	OK	 
USER	Bank Load	472	START	1593599866525	1593599866525
REQUEST	140		Transaction	1593599862738	1593599866527	OK	 
REQUEST	271		Get Balance	1593599862515	1593599866539	OK	 
REQUEST	141		Transaction	1593599862763	1593599866545	OK	 
REQUEST	272		Get Balance	1593599862536	1593599866554	OK	 
USER	Bank Load	473	START	1593599866557	1593599866557
REQUEST	50		Create new account	1593599862768	1593599866563	OK	 
USER	Bank Load	50	END	1593599858085	1593599866563
USER	Bank Load	474	START	1593599866573	1593599866573
REQUEST	273		Get Balance	1593599862558	1593599866580	OK	 
REQUEST	274		Get Balance	1593599862573	1593599866586	OK	 
REQUEST	142		Transaction	1593599862787	1593599866586	OK	 
USER	Bank Load	475	START	1593599866594	1593599866594
REQUEST	144		Transaction	1593599862816	1593599866617	OK	 
USER	Bank Load	476	START	1593599866618	1593599866618
REQUEST	276		Get Balance	1593599862616	1593599866629	OK	 
REQUEST	275		Get Balance	1593599862594	1593599866632	OK	 
USER	Bank Load	477	START	1593599866633	1593599866633
REQUEST	143		Transaction	1593599862824	1593599866634	OK	 
USER	Bank Load	478	START	1593599866654	1593599866654
REQUEST	277		Get Balance	1593599862636	1593599866656	OK	 
REQUEST	52		Create new account	1593599862915	1593599866666	OK	 
USER	Bank Load	52	END	1593599858128	1593599866666
USER	Bank Load	479	START	1593599866675	1593599866675
REQUEST	278		Get Balance	1593599862658	1593599866689	OK	 
USER	Bank Load	480	START	1593599866696	1593599866696
REQUEST	279		Get Balance	1593599862673	1593599866697	OK	 
USER	Bank Load	481	START	1593599866717	1593599866717
USER	Bank Load	482	START	1593599866738	1593599866738
USER	Bank Load	483	START	1593599866753	1593599866753
REQUEST	146		Transaction	1593599862920	1593599866762	OK	 
REQUEST	280		Get Balance	1593599862694	1593599866767	OK	 
USER	Bank Load	484	START	1593599866774	1593599866774
REQUEST	145		Transaction	1593599862922	1593599866786	OK	 
USER	Bank Load	485	START	1593599866795	1593599866795
REQUEST	51		Create new account	1593599862951	1593599866797	OK	 
USER	Bank Load	51	END	1593599858107	1593599866798
REQUEST	281		Get Balance	1593599862715	1593599866807	OK	 
USER	Bank Load	486	START	1593599866817	1593599866817
USER	Bank Load	487	START	1593599866838	1593599866838
REQUEST	147		Transaction	1593599862970	1593599866853	OK	 
USER	Bank Load	488	START	1593599866853	1593599866853
REQUEST	282		Get Balance	1593599862737	1593599866858	OK	 
REQUEST	53		Create new account	1593599862990	1593599866869	OK	 
USER	Bank Load	53	END	1593599858144	1593599866869
USER	Bank Load	489	START	1593599866873	1593599866873
REQUEST	283		Get Balance	1593599862758	1593599866879	OK	 
USER	Bank Load	490	START	1593599866894	1593599866894
USER	Bank Load	491	START	1593599866915	1593599866915
REQUEST	56		Create new account	1593599863001	1593599866917	OK	 
USER	Bank Load	56	END	1593599858208	1593599866918
REQUEST	284		Get Balance	1593599862774	1593599866918	OK	 
REQUEST	148		Transaction	1593599863031	1593599866919	OK	 
REQUEST	285		Get Balance	1593599862796	1593599866925	OK	 
USER	Bank Load	492	START	1593599866937	1593599866937
REQUEST	54		Create new account	1593599863047	1593599866957	OK	 
USER	Bank Load	493	START	1593599866957	1593599866957
USER	Bank Load	54	END	1593599858166	1593599866958
REQUEST	286		Get Balance	1593599862816	1593599866959	OK	 
REQUEST	55		Create new account	1593599863095	1593599866972	OK	 
USER	Bank Load	55	END	1593599858187	1593599866972
USER	Bank Load	494	START	1593599866978	1593599866978
REQUEST	287		Get Balance	1593599862838	1593599866981	OK	 
USER	Bank Load	495	START	1593599866993	1593599866993
USER	Bank Load	496	START	1593599867014	1593599867014
REQUEST	288		Get Balance	1593599862858	1593599867023	OK	 
REQUEST	289		Get Balance	1593599862879	1593599867035	OK	 
USER	Bank Load	497	START	1593599867035	1593599867035
REQUEST	290		Get Balance	1593599862893	1593599867050	OK	 
USER	Bank Load	498	START	1593599867057	1593599867057
REQUEST	149		Transaction	1593599863140	1593599867060	OK	 
USER	Bank Load	499	START	1593599867078	1593599867078
REQUEST	57		Create new account	1593599863151	1593599867094	OK	 
USER	Bank Load	57	END	1593599858228	1593599867094
USER	Bank Load	500	START	1593599867098	1593599867098
REQUEST	291		Get Balance	1593599862915	1593599867109	OK	 
USER	Bank Load	501	START	1593599867113	1593599867113
REQUEST	292		Get Balance	1593599862936	1593599867127	OK	 
REQUEST	150		Transaction	1593599863171	1593599867130	OK	 
USER	Bank Load	502	START	1593599867134	1593599867134
REQUEST	293		Get Balance	1593599862957	1593599867147	OK	 
USER	Bank Load	503	START	1593599867155	1593599867155
REQUEST	294		Get Balance	1593599862979	1593599867167	OK	 
USER	Bank Load	504	START	1593599867176	1593599867176
REQUEST	151		Transaction	1593599863219	1593599867181	OK	 
REQUEST	58		Create new account	1593599863224	1593599867197	OK	 
USER	Bank Load	505	START	1593599867197	1593599867197
USER	Bank Load	58	END	1593599858243	1593599867197
REQUEST	59		Create new account	1593599863229	1593599867211	OK	 
USER	Bank Load	59	END	1593599858263	1593599867211
USER	Bank Load	506	START	1593599867213	1593599867213
REQUEST	295		Get Balance	1593599862994	1593599867218	OK	 
USER	Bank Load	507	START	1593599867233	1593599867233
USER	Bank Load	508	START	1593599867253	1593599867253
REQUEST	296		Get Balance	1593599863015	1593599867259	OK	 
REQUEST	152		Transaction	1593599863255	1593599867274	OK	 
USER	Bank Load	509	START	1593599867275	1593599867275
USER	Bank Load	510	START	1593599867297	1593599867297
REQUEST	153		Transaction	1593599863270	1593599867316	OK	 
REQUEST	298		Get Balance	1593599863057	1593599867327	OK	 
USER	Bank Load	511	START	1593599867317	1593599867317
USER	Bank Load	512	START	1593599867338	1593599867338
USER	Bank Load	513	START	1593599867353	1593599867353
REQUEST	297		Get Balance	1593599863036	1593599867360	OK	 
REQUEST	60		Create new account	1593599863299	1593599867360	OK	 
USER	Bank Load	60	END	1593599858286	1593599867361
USER	Bank Load	514	START	1593599867374	1593599867374
USER	Bank Load	515	START	1593599867396	1593599867396
REQUEST	299		Get Balance	1593599863078	1593599867406	OK	 
USER	Bank Load	516	START	1593599867417	1593599867417
REQUEST	300		Get Balance	1593599863094	1593599867426	OK	 
USER	Bank Load	517	START	1593599867433	1593599867433
REQUEST	154		Transaction	1593599863311	1593599867435	OK	 
USER	Bank Load	518	START	1593599867454	1593599867454
REQUEST	155		Transaction	1593599863358	1593599867458	OK	 
USER	Bank Load	519	START	1593599867475	1593599867475
REQUEST	61		Create new account	1593599863346	1593599867476	OK	 
USER	Bank Load	61	END	1593599858307	1593599867476
REQUEST	62		Create new account	1593599863364	1593599867489	OK	 
USER	Bank Load	62	END	1593599858323	1593599867490
USER	Bank Load	520	START	1593599867497	1593599867497
REQUEST	301		Get Balance	1593599863113	1593599867498	OK	 
USER	Bank Load	521	START	1593599867518	1593599867518
REQUEST	302		Get Balance	1593599863135	1593599867522	OK	 
USER	Bank Load	523	START	1593599867529	1593599867529
USER	Bank Load	522	START	1593599867533	1593599867533
USER	Bank Load	524	START	1593599867554	1593599867554
REQUEST	303		Get Balance	1593599863156	1593599867555	OK	 
USER	Bank Load	525	START	1593599867575	1593599867575
REQUEST	63		Create new account	1593599863385	1593599867579	OK	 
USER	Bank Load	63	END	1593599858343	1593599867580
USER	Bank Load	526	START	1593599867596	1593599867596
REQUEST	156		Transaction	1593599863411	1593599867597	OK	 
REQUEST	304		Get Balance	1593599863178	1593599867608	OK	 
REQUEST	157		Transaction	1593599863412	1593599867615	OK	 
USER	Bank Load	527	START	1593599867618	1593599867618
USER	Bank Load	528	START	1593599867633	1593599867633
REQUEST	64		Create new account	1593599863438	1593599867643	OK	 
USER	Bank Load	64	END	1593599858365	1593599867643
REQUEST	305		Get Balance	1593599863199	1593599867651	OK	 
USER	Bank Load	529	START	1593599867654	1593599867654
REQUEST	65		Create new account	1593599863483	1593599867663	OK	 
USER	Bank Load	65	END	1593599858387	1593599867663
REQUEST	306		Get Balance	1593599863214	1593599867664	OK	 
USER	Bank Load	530	START	1593599867675	1593599867675
REQUEST	307		Get Balance	1593599863234	1593599867690	OK	 
USER	Bank Load	531	START	1593599867695	1593599867695
USER	Bank Load	532	START	1593599867717	1593599867717
REQUEST	308		Get Balance	1593599863255	1593599867722	OK	 
USER	Bank Load	533	START	1593599867738	1593599867738
REQUEST	158		Transaction	1593599863493	1593599867748	OK	 
USER	Bank Load	534	START	1593599867754	1593599867754
REQUEST	309		Get Balance	1593599863276	1593599867765	OK	 
REQUEST	159		Transaction	1593599863509	1593599867769	OK	 
USER	Bank Load	535	START	1593599867774	1593599867774
REQUEST	310		Get Balance	1593599863297	1593599867793	OK	 
USER	Bank Load	536	START	1593599867795	1593599867795
REQUEST	67		Create new account	1593599863548	1593599867810	OK	 
USER	Bank Load	67	END	1593599858423	1593599867811
USER	Bank Load	537	START	1593599867817	1593599867817
REQUEST	160		Transaction	1593599863553	1593599867834	OK	 
USER	Bank Load	538	START	1593599867838	1593599867838
REQUEST	161		Transaction	1593599863573	1593599867840	OK	 
REQUEST	311		Get Balance	1593599863318	1593599867840	OK	 
USER	Bank Load	539	START	1593599867853	1593599867853
REQUEST	312		Get Balance	1593599863333	1593599867856	OK	 
USER	Bank Load	540	START	1593599867874	1593599867874
REQUEST	313		Get Balance	1593599863354	1593599867884	OK	 
REQUEST	314		Get Balance	1593599863375	1593599867884	OK	 
REQUEST	66		Create new account	1593599863572	1593599867886	OK	 
USER	Bank Load	66	END	1593599858408	1593599867887
USER	Bank Load	541	START	1593599867895	1593599867895
REQUEST	162		Transaction	1593599863627	1593599867912	OK	 
USER	Bank Load	542	START	1593599867916	1593599867916
REQUEST	163		Transaction	1593599863645	1593599867928	OK	 
REQUEST	315		Get Balance	1593599863396	1593599867930	OK	 
USER	Bank Load	543	START	1593599867937	1593599867937
REQUEST	68		Create new account	1593599863654	1593599867938	OK	 
USER	Bank Load	68	END	1593599858444	1593599867938
REQUEST	316		Get Balance	1593599863417	1593599867947	OK	 
USER	Bank Load	544	START	1593599867953	1593599867953
REQUEST	317		Get Balance	1593599863438	1593599867971	OK	 
USER	Bank Load	545	START	1593599867974	1593599867974
USER	Bank Load	546	START	1593599867994	1593599867994
REQUEST	165		Transaction	1593599863692	1593599868010	OK	 
USER	Bank Load	547	START	1593599868015	1593599868015
REQUEST	164		Transaction	1593599863680	1593599868019	OK	 
REQUEST	318		Get Balance	1593599863459	1593599868028	OK	 
USER	Bank Load	548	START	1593599868044	1593599868044
REQUEST	166		Transaction	1593599863710	1593599868045	OK	 
USER	Bank Load	549	START	1593599868054	1593599868054
REQUEST	319		Get Balance	1593599863473	1593599868058	OK	 
USER	Bank Load	550	START	1593599868075	1593599868075
REQUEST	69		Create new account	1593599863721	1593599868076	OK	 
USER	Bank Load	69	END	1593599858465	1593599868077
REQUEST	167		Transaction	1593599863735	1593599868090	OK	 
USER	Bank Load	551	START	1593599868096	1593599868096
REQUEST	320		Get Balance	1593599863494	1593599868107	OK	 
REQUEST	70		Create new account	1593599863759	1593599868115	OK	 
USER	Bank Load	70	END	1593599858486	1593599868116
USER	Bank Load	552	START	1593599868116	1593599868116
REQUEST	321		Get Balance	1593599863516	1593599868131	OK	 
USER	Bank Load	553	START	1593599868137	1593599868137
REQUEST	323		Get Balance	1593599863527	1593599868143	OK	 
REQUEST	168		Transaction	1593599863766	1593599868149	OK	 
USER	Bank Load	554	START	1593599868158	1593599868158
REQUEST	322		Get Balance	1593599863537	1593599868173	OK	 
REQUEST	71		Create new account	1593599863779	1593599868174	OK	 
USER	Bank Load	71	END	1593599858507	1593599868175
USER	Bank Load	555	START	1593599868178	1593599868178
REQUEST	324		Get Balance	1593599863563	1593599868187	OK	 
USER	Bank Load	556	START	1593599868193	1593599868193
REQUEST	169		Transaction	1593599863787	1593599868197	OK	 
USER	Bank Load	557	START	1593599868215	1593599868215
REQUEST	325		Get Balance	1593599863584	1593599868226	OK	 
REQUEST	170		Transaction	1593599863807	1593599868230	OK	 
REQUEST	171		Transaction	1593599863815	1593599868233	OK	 
USER	Bank Load	558	START	1593599868236	1593599868236
USER	Bank Load	559	START	1593599868258	1593599868258
REQUEST	173		Transaction	1593599863831	1593599868259	OK	 
REQUEST	327		Get Balance	1593599863625	1593599868272	OK	 
USER	Bank Load	560	START	1593599868273	1593599868273
REQUEST	326		Get Balance	1593599863604	1593599868281	OK	 
REQUEST	172		Transaction	1593599863837	1593599868284	OK	 
REQUEST	328		Get Balance	1593599863646	1593599868291	OK	 
USER	Bank Load	561	START	1593599868294	1593599868294
USER	Bank Load	562	START	1593599868315	1593599868315
REQUEST	174		Transaction	1593599863877	1593599868319	OK	 
REQUEST	74		Create new account	1593599863903	1593599868320	OK	 
USER	Bank Load	74	END	1593599858554	1593599868321
REQUEST	72		Create new account	1593599863915	1593599868327	OK	 
USER	Bank Load	72	END	1593599858528	1593599868328
USER	Bank Load	563	START	1593599868336	1593599868336
USER	Bank Load	564	START	1593599868357	1593599868357
REQUEST	73		Create new account	1593599863916	1593599868361	OK	 
USER	Bank Load	73	END	1593599858528	1593599868361
USER	Bank Load	565	START	1593599868378	1593599868378
REQUEST	331		Get Balance	1593599863704	1593599868382	OK	 
REQUEST	329		Get Balance	1593599863667	1593599868385	OK	 
USER	Bank Load	566	START	1593599868393	1593599868393
REQUEST	330		Get Balance	1593599863688	1593599868403	OK	 
USER	Bank Load	567	START	1593599868413	1593599868413
REQUEST	332		Get Balance	1593599863724	1593599868420	OK	 
REQUEST	333		Get Balance	1593599863745	1593599868427	OK	 
USER	Bank Load	568	START	1593599868435	1593599868435
REQUEST	176		Transaction	1593599864004	1593599868452	OK	 
USER	Bank Load	569	START	1593599868456	1593599868456
REQUEST	177		Transaction	1593599863996	1593599868460	OK	 
REQUEST	334		Get Balance	1593599863767	1593599868462	OK	 
REQUEST	175		Transaction	1593599864014	1593599868475	OK	 
USER	Bank Load	570	START	1593599868477	1593599868477
USER	Bank Load	571	START	1593599868498	1593599868498
REQUEST	76		Create new account	1593599864027	1593599868502	OK	 
USER	Bank Load	76	END	1593599858596	1593599868502
REQUEST	336		Get Balance	1593599863803	1593599868510	OK	 
REQUEST	335		Get Balance	1593599863788	1593599868513	OK	 
USER	Bank Load	572	START	1593599868513	1593599868513
USER	Bank Load	573	START	1593599868535	1593599868535
REQUEST	178		Transaction	1593599864053	1593599868541	OK	 
REQUEST	337		Get Balance	1593599863823	1593599868552	OK	 
REQUEST	179		Transaction	1593599864072	1593599868561	OK	 
REQUEST	75		Create new account	1593599864080	1593599868564	OK	 
USER	Bank Load	75	END	1593599858575	1593599868565
USER	Bank Load	574	START	1593599868577	1593599868577
REQUEST	338		Get Balance	1593599863844	1593599868584	OK	 
REQUEST	180		Transaction	1593599864085	1593599868591	OK	 
USER	Bank Load	575	START	1593599868593	1593599868593
REQUEST	339		Get Balance	1593599863866	1593599868597	OK	 
REQUEST	77		Create new account	1593599864103	1593599868600	OK	 
USER	Bank Load	77	END	1593599858618	1593599868601
USER	Bank Load	576	START	1593599868614	1593599868614
REQUEST	181		Transaction	1593599864129	1593599868625	OK	 
REQUEST	340		Get Balance	1593599863887	1593599868632	OK	 
USER	Bank Load	577	START	1593599868635	1593599868635
REQUEST	78		Create new account	1593599864149	1593599868642	OK	 
USER	Bank Load	78	END	1593599858633	1593599868642
REQUEST	182		Transaction	1593599864136	1593599868643	OK	 
USER	Bank Load	578	START	1593599868656	1593599868656
REQUEST	341		Get Balance	1593599863909	1593599868659	OK	 
REQUEST	342		Get Balance	1593599863923	1593599868674	OK	 
USER	Bank Load	579	START	1593599868677	1593599868677
REQUEST	79		Create new account	1593599864180	1593599868683	OK	 
USER	Bank Load	79	END	1593599858654	1593599868684
REQUEST	183		Transaction	1593599864169	1593599868684	OK	 
USER	Bank Load	580	START	1593599868698	1593599868698
REQUEST	185		Transaction	1593599864190	1593599868706	OK	 
USER	Bank Load	581	START	1593599868714	1593599868714
REQUEST	343		Get Balance	1593599863944	1593599868718	OK	 
REQUEST	184		Transaction	1593599864184	1593599868721	OK	 
REQUEST	186		Transaction	1593599864199	1593599868731	OK	 
USER	Bank Load	582	START	1593599868735	1593599868735
REQUEST	344		Get Balance	1593599863966	1593599868738	OK	 
USER	Bank Load	583	START	1593599868755	1593599868755
REQUEST	80		Create new account	1593599864226	1593599868761	OK	 
USER	Bank Load	80	END	1593599858675	1593599868761
REQUEST	345		Get Balance	1593599863987	1593599868773	OK	 
REQUEST	187		Transaction	1593599864219	1593599868774	OK	 
USER	Bank Load	584	START	1593599868777	1593599868777
REQUEST	188		Transaction	1593599864239	1593599868791	OK	 
USER	Bank Load	585	START	1593599868798	1593599868798
REQUEST	189		Transaction	1593599864247	1593599868801	OK	 
REQUEST	346		Get Balance	1593599864008	1593599868806	OK	 
USER	Bank Load	586	START	1593599868813	1593599868813
REQUEST	190		Transaction	1593599864283	1593599868817	OK	 
REQUEST	82		Create new account	1593599864278	1593599868829	OK	 
USER	Bank Load	82	END	1593599858718	1593599868830
USER	Bank Load	587	START	1593599868834	1593599868834
REQUEST	347		Get Balance	1593599864029	1593599868840	OK	 
REQUEST	81		Create new account	1593599864283	1593599868851	OK	 
USER	Bank Load	81	END	1593599858696	1593599868851
USER	Bank Load	588	START	1593599868855	1593599868855
REQUEST	348		Get Balance	1593599864044	1593599868857	OK	 
REQUEST	349		Get Balance	1593599864065	1593599868870	OK	 
USER	Bank Load	589	START	1593599868876	1593599868876
REQUEST	191		Transaction	1593599864319	1593599868887	OK	 
REQUEST	192		Transaction	1593599864326	1593599868897	OK	 
USER	Bank Load	590	START	1593599868898	1593599868898
REQUEST	350		Get Balance	1593599864086	1593599868899	OK	 
USER	Bank Load	591	START	1593599868913	1593599868913
REQUEST	83		Create new account	1593599864335	1593599868917	OK	 
USER	Bank Load	83	END	1593599858733	1593599868918
REQUEST	84		Create new account	1593599864356	1593599868932	OK	 
USER	Bank Load	84	END	1593599858754	1593599868933
USER	Bank Load	592	START	1593599868934	1593599868934
REQUEST	351		Get Balance	1593599864107	1593599868936	OK	 
REQUEST	352		Get Balance	1593599864128	1593599868949	OK	 
REQUEST	193		Transaction	1593599864369	1593599868949	OK	 
USER	Bank Load	593	START	1593599868955	1593599868955
REQUEST	353		Get Balance	1593599864144	1593599868966	OK	 
REQUEST	85		Create new account	1593599864389	1593599868968	OK	 
USER	Bank Load	85	END	1593599858775	1593599868969
USER	Bank Load	594	START	1593599868976	1593599868976
REQUEST	86		Create new account	1593599864400	1593599868993	OK	 
USER	Bank Load	86	END	1593599858796	1593599868994
USER	Bank Load	595	START	1593599868998	1593599868998
REQUEST	194		Transaction	1593599864397	1593599869001	OK	 
USER	Bank Load	596	START	1593599869013	1593599869013
REQUEST	354		Get Balance	1593599864165	1593599869013	OK	 
REQUEST	195		Transaction	1593599864408	1593599869018	OK	 
REQUEST	355		Get Balance	1593599864187	1593599869032	OK	 
USER	Bank Load	597	START	1593599869034	1593599869034
REQUEST	88		Create new account	1593599864441	1593599869044	OK	 
USER	Bank Load	88	END	1593599858833	1593599869044
REQUEST	356		Get Balance	1593599864208	1593599869051	OK	 
USER	Bank Load	598	START	1593599869055	1593599869055
REQUEST	196		Transaction	1593599864452	1593599869070	OK	 
USER	Bank Load	599	START	1593599869076	1593599869076
REQUEST	90		Create new account	1593599864462	1593599869082	OK	 
USER	Bank Load	90	END	1593599858876	1593599869083
REQUEST	87		Create new account	1593599864461	1593599869094	OK	 
USER	Bank Load	87	END	1593599858817	1593599869095
USER	Bank Load	600	START	1593599869097	1593599869097
REQUEST	357		Get Balance	1593599864224	1593599869099	OK	 
USER	Bank Load	601	START	1593599869113	1593599869113
REQUEST	358		Get Balance	1593599864245	1593599869117	OK	 
REQUEST	359		Get Balance	1593599864266	1593599869130	OK	 
USER	Bank Load	602	START	1593599869134	1593599869134
REQUEST	197		Transaction	1593599864489	1593599869139	OK	 
REQUEST	89		Create new account	1593599864522	1593599869145	OK	 
USER	Bank Load	89	END	1593599858854	1593599869146
USER	Bank Load	603	START	1593599869155	1593599869155
REQUEST	91		Create new account	1593599864513	1593599869157	OK	 
USER	Bank Load	91	END	1593599858897	1593599869158
REQUEST	360		Get Balance	1593599864286	1593599869176	OK	 
USER	Bank Load	604	START	1593599869176	1593599869176
REQUEST	361		Get Balance	1593599864308	1593599869180	OK	 
REQUEST	198		Transaction	1593599864529	1593599869185	OK	 
USER	Bank Load	605	START	1593599869197	1593599869197
REQUEST	92		Create new account	1593599864556	1593599869204	OK	 
USER	Bank Load	92	END	1593599858918	1593599869205
REQUEST	362		Get Balance	1593599864323	1593599869216	OK	 
USER	Bank Load	606	START	1593599869218	1593599869218
REQUEST	199		Transaction	1593599864562	1593599869224	OK	 
REQUEST	200		Transaction	1593599864564	1593599869225	OK	 
USER	Bank Load	607	START	1593599869233	1593599869233
REQUEST	363		Get Balance	1593599864344	1593599869239	OK	 
USER	Bank Load	608	START	1593599869254	1593599869254
REQUEST	95		Create new account	1593599864593	1593599869258	OK	 
USER	Bank Load	95	END	1593599858974	1593599869258
REQUEST	364		Get Balance	1593599864366	1593599869263	OK	 
USER	Bank Load	609	START	1593599869276	1593599869276
REQUEST	201		Transaction	1593599864601	1593599869281	OK	 
REQUEST	93		Create new account	1593599864618	1593599869286	OK	 
USER	Bank Load	93	END	1593599858933	1593599869287
USER	Bank Load	610	START	1593599869297	1593599869297
REQUEST	94		Create new account	1593599864625	1593599869316	OK	 
USER	Bank Load	94	END	1593599858954	1593599869316
USER	Bank Load	611	START	1593599869318	1593599869318
REQUEST	202		Transaction	1593599864635	1593599869319	OK	 
REQUEST	365		Get Balance	1593599864387	1593599869319	OK	 
USER	Bank Load	612	START	1593599869333	1593599869333
REQUEST	203		Transaction	1593599864650	1593599869347	OK	 
REQUEST	367		Get Balance	1593599864423	1593599869353	OK	 
USER	Bank Load	613	START	1593599869354	1593599869354
REQUEST	366		Get Balance	1593599864408	1593599869357	OK	 
