RUN	bank.BalanceSimulation	balancesimulation	1593599353025	 	3.3.1
REQUEST	232		Get Balance	1593599360200	1593599363682	OK	 
USER	Balance	232	END	1593599360198	1593599363683
REQUEST	236		Get Balance	1593599360210	1593599363688	OK	 
USER	Balance	236	END	1593599360209	1593599363688
USER	Balance	1278	START	1593599363690	1593599363690
USER	Balance	1280	START	1593599363690	1593599363690
USER	Balance	1279	START	1593599363690	1593599363690
USER	Balance	1283	START	1593599363700	1593599363700
USER	Balance	1281	START	1593599363700	1593599363700
USER	Balance	1282	START	1593599363700	1593599363700
USER	Balance	1284	START	1593599363710	1593599363710
USER	Balance	1286	START	1593599363710	1593599363710
USER	Balance	1285	START	1593599363710	1593599363710
REQUEST	240		Get Balance	1593599360220	1593599363716	OK	 
USER	Balance	240	END	1593599360219	1593599363716
USER	Balance	1288	START	1593599363721	1593599363721
USER	Balance	1289	START	1593599363721	1593599363721
USER	Balance	1287	START	1593599363721	1593599363721
REQUEST	237		Get Balance	1593599360210	1593599363724	OK	 
USER	Balance	237	END	1593599360209	1593599363725
REQUEST	238		Get Balance	1593599360220	1593599363730	OK	 
USER	Balance	238	END	1593599360219	1593599363731
USER	Balance	1292	START	1593599363732	1593599363732
USER	Balance	1290	START	1593599363732	1593599363732
USER	Balance	1291	START	1593599363732	1593599363732
REQUEST	239		Get Balance	1593599360221	1593599363735	OK	 
USER	Balance	239	END	1593599360219	1593599363736
USER	Balance	1293	START	1593599363742	1593599363742
USER	Balance	1295	START	1593599363742	1593599363742
USER	Balance	1294	START	1593599363742	1593599363742
REQUEST	242		Get Balance	1593599360231	1593599363751	OK	 
USER	Balance	242	END	1593599360230	1593599363751
USER	Balance	1296	START	1593599363752	1593599363752
USER	Balance	1297	START	1593599363752	1593599363752
USER	Balance	1298	START	1593599363752	1593599363752
REQUEST	245		Get Balance	1593599360242	1593599363757	OK	 
USER	Balance	245	END	1593599360241	1593599363757
USER	Balance	1299	START	1593599363763	1593599363763
USER	Balance	1301	START	1593599363763	1593599363763
USER	Balance	1300	START	1593599363763	1593599363763
REQUEST	243		Get Balance	1593599360231	1593599363769	OK	 
USER	Balance	243	END	1593599360230	1593599363770
REQUEST	241		Get Balance	1593599360231	1593599363771	OK	 
USER	Balance	241	END	1593599360230	1593599363772
USER	Balance	1302	START	1593599363774	1593599363774
USER	Balance	1303	START	1593599363774	1593599363774
USER	Balance	1304	START	1593599363774	1593599363774
USER	Balance	1306	START	1593599363778	1593599363778
USER	Balance	1307	START	1593599363778	1593599363778
USER	Balance	1305	START	1593599363778	1593599363778
USER	Balance	1309	START	1593599363788	1593599363788
USER	Balance	1308	START	1593599363788	1593599363788
USER	Balance	1310	START	1593599363788	1593599363788
USER	Balance	1313	START	1593599363799	1593599363799
USER	Balance	1311	START	1593599363799	1593599363799
USER	Balance	1312	START	1593599363799	1593599363799
REQUEST	244		Get Balance	1593599360242	1593599363800	OK	 
USER	Balance	244	END	1593599360241	1593599363800
REQUEST	249		Get Balance	1593599360252	1593599363803	OK	 
USER	Balance	249	END	1593599360251	1593599363803
REQUEST	247		Get Balance	1593599360252	1593599363808	OK	 
REQUEST	246		Get Balance	1593599360242	1593599363808	OK	 
USER	Balance	246	END	1593599360241	1593599363809
USER	Balance	247	END	1593599360251	1593599363809
USER	Balance	1315	START	1593599363810	1593599363810
USER	Balance	1316	START	1593599363810	1593599363810
USER	Balance	1314	START	1593599363810	1593599363810
USER	Balance	1318	START	1593599363820	1593599363820
USER	Balance	1319	START	1593599363820	1593599363820
USER	Balance	1317	START	1593599363820	1593599363820
USER	Balance	1320	START	1593599363831	1593599363831
USER	Balance	1321	START	1593599363831	1593599363831
USER	Balance	1322	START	1593599363831	1593599363831
USER	Balance	1324	START	1593599363842	1593599363842
USER	Balance	1325	START	1593599363842	1593599363842
USER	Balance	1323	START	1593599363842	1593599363842
USER	Balance	1326	START	1593599363852	1593599363852
USER	Balance	1327	START	1593599363853	1593599363853
USER	Balance	1328	START	1593599363853	1593599363853
REQUEST	252		Get Balance	1593599360263	1593599363853	OK	 
USER	Balance	252	END	1593599360262	1593599363854
REQUEST	250		Get Balance	1593599360262	1593599363856	OK	 
USER	Balance	250	END	1593599360262	1593599363857
REQUEST	251		Get Balance	1593599360262	1593599363857	OK	 
USER	Balance	251	END	1593599360262	1593599363858
USER	Balance	1330	START	1593599363863	1593599363863
USER	Balance	1331	START	1593599363863	1593599363863
USER	Balance	1329	START	1593599363863	1593599363863
REQUEST	248		Get Balance	1593599360252	1593599363865	OK	 
USER	Balance	248	END	1593599360251	1593599363866
USER	Balance	1334	START	1593599363868	1593599363868
USER	Balance	1332	START	1593599363868	1593599363868
USER	Balance	1333	START	1593599363868	1593599363868
USER	Balance	1335	START	1593599363879	1593599363879
USER	Balance	1336	START	1593599363879	1593599363879
USER	Balance	1337	START	1593599363879	1593599363879
USER	Balance	1338	START	1593599363890	1593599363890
USER	Balance	1339	START	1593599363890	1593599363890
USER	Balance	1340	START	1593599363890	1593599363890
REQUEST	255		Get Balance	1593599360273	1593599363900	OK	 
USER	Balance	1343	START	1593599363900	1593599363900
USER	Balance	1342	START	1593599363900	1593599363900
USER	Balance	1341	START	1593599363900	1593599363900
USER	Balance	255	END	1593599360272	1593599363901
REQUEST	256		Get Balance	1593599360285	1593599363902	OK	 
USER	Balance	256	END	1593599360283	1593599363903
REQUEST	254		Get Balance	1593599360274	1593599363910	OK	 
USER	Balance	1344	START	1593599363910	1593599363910
USER	Balance	1346	START	1593599363910	1593599363910
USER	Balance	1345	START	1593599363910	1593599363910
USER	Balance	254	END	1593599360272	1593599363911
REQUEST	253		Get Balance	1593599360274	1593599363921	OK	 
USER	Balance	1348	START	1593599363921	1593599363921
USER	Balance	1347	START	1593599363921	1593599363921
USER	Balance	1349	START	1593599363921	1593599363921
USER	Balance	253	END	1593599360272	1593599363921
USER	Balance	1352	START	1593599363932	1593599363932
USER	Balance	1351	START	1593599363932	1593599363932
USER	Balance	1350	START	1593599363932	1593599363932
USER	Balance	1353	START	1593599363942	1593599363942
USER	Balance	1355	START	1593599363942	1593599363942
USER	Balance	1354	START	1593599363942	1593599363942
REQUEST	258		Get Balance	1593599360284	1593599363946	OK	 
REQUEST	257		Get Balance	1593599360284	1593599363949	OK	 
REQUEST	261		Get Balance	1593599360296	1593599363950	OK	 
REQUEST	260		Get Balance	1593599360295	1593599363950	OK	 
USER	Balance	260	END	1593599360294	1593599363951
USER	Balance	261	END	1593599360294	1593599363951
USER	Balance	1358	START	1593599363953	1593599363953
USER	Balance	1357	START	1593599363953	1593599363953
USER	Balance	1356	START	1593599363953	1593599363953
USER	Balance	1360	START	1593599363964	1593599363964
USER	Balance	258	END	1593599360283	1593599363964
USER	Balance	1359	START	1593599363964	1593599363964
USER	Balance	1361	START	1593599363964	1593599363964
USER	Balance	1364	START	1593599363968	1593599363968
USER	Balance	1363	START	1593599363968	1593599363968
USER	Balance	1362	START	1593599363968	1593599363968
USER	Balance	1365	START	1593599363978	1593599363978
USER	Balance	1366	START	1593599363978	1593599363978
USER	Balance	1367	START	1593599363978	1593599363978
USER	Balance	257	END	1593599360283	1593599363979
USER	Balance	1369	START	1593599363988	1593599363988
USER	Balance	1368	START	1593599363988	1593599363988
USER	Balance	1370	START	1593599363988	1593599363988
REQUEST	264		Get Balance	1593599360299	1593599363988	OK	 
USER	Balance	264	END	1593599360298	1593599363989
REQUEST	267		Get Balance	1593599360310	1593599363990	OK	 
REQUEST	270		Get Balance	1593599360321	1593599363990	OK	 
USER	Balance	270	END	1593599360320	1593599363991
USER	Balance	267	END	1593599360309	1593599363991
USER	Balance	1372	START	1593599363999	1593599363999
USER	Balance	1373	START	1593599363999	1593599363999
USER	Balance	1371	START	1593599363999	1593599363999
REQUEST	262		Get Balance	1593599360299	1593599364008	OK	 
USER	Balance	262	END	1593599360298	1593599364009
USER	Balance	1376	START	1593599364009	1593599364009
USER	Balance	1374	START	1593599364009	1593599364009
USER	Balance	1375	START	1593599364009	1593599364009
USER	Balance	1377	START	1593599364020	1593599364020
USER	Balance	1379	START	1593599364020	1593599364020
USER	Balance	1378	START	1593599364020	1593599364020
REQUEST	259		Get Balance	1593599360295	1593599364020	OK	 
USER	Balance	259	END	1593599360294	1593599364021
REQUEST	263		Get Balance	1593599360299	1593599364028	OK	 
USER	Balance	263	END	1593599360298	1593599364029
USER	Balance	1380	START	1593599364030	1593599364030
USER	Balance	1381	START	1593599364030	1593599364030
USER	Balance	1382	START	1593599364030	1593599364030
REQUEST	271		Get Balance	1593599360332	1593599364035	OK	 
USER	Balance	271	END	1593599360331	1593599364035
USER	Balance	1385	START	1593599364041	1593599364041
USER	Balance	1384	START	1593599364041	1593599364041
USER	Balance	1383	START	1593599364041	1593599364041
USER	Balance	1386	START	1593599364052	1593599364052
USER	Balance	1387	START	1593599364052	1593599364052
USER	Balance	1388	START	1593599364052	1593599364052
REQUEST	268		Get Balance	1593599360321	1593599364052	OK	 
USER	Balance	268	END	1593599360320	1593599364055
USER	Balance	1389	START	1593599364062	1593599364062
USER	Balance	1390	START	1593599364062	1593599364062
USER	Balance	1391	START	1593599364062	1593599364062
REQUEST	273		Get Balance	1593599360331	1593599364069	OK	 
REQUEST	269		Get Balance	1593599360321	1593599364069	OK	 
USER	Balance	269	END	1593599360320	1593599364070
USER	Balance	273	END	1593599360331	1593599364070
USER	Balance	1392	START	1593599364073	1593599364073
USER	Balance	1394	START	1593599364073	1593599364073
USER	Balance	1393	START	1593599364073	1593599364073
USER	Balance	1395	START	1593599364084	1593599364084
USER	Balance	1396	START	1593599364084	1593599364084
USER	Balance	1397	START	1593599364084	1593599364084
USER	Balance	1399	START	1593599364088	1593599364088
USER	Balance	1400	START	1593599364088	1593599364088
USER	Balance	1398	START	1593599364088	1593599364088
USER	Balance	1403	START	1593599364099	1593599364099
USER	Balance	1401	START	1593599364099	1593599364099
USER	Balance	1402	START	1593599364099	1593599364099
USER	Balance	1406	START	1593599364109	1593599364109
USER	Balance	1404	START	1593599364109	1593599364109
USER	Balance	1405	START	1593599364109	1593599364109
REQUEST	276		Get Balance	1593599360342	1593599364112	OK	 
REQUEST	278		Get Balance	1593599360353	1593599364112	OK	 
USER	Balance	278	END	1593599360352	1593599364112
USER	Balance	276	END	1593599360342	1593599364112
USER	Balance	1408	START	1593599364120	1593599364120
USER	Balance	1407	START	1593599364120	1593599364120
USER	Balance	1409	START	1593599364120	1593599364120
REQUEST	279		Get Balance	1593599360353	1593599364123	OK	 
USER	Balance	279	END	1593599360352	1593599364124
USER	Balance	1412	START	1593599364131	1593599364131
USER	Balance	1411	START	1593599364131	1593599364131
USER	Balance	1410	START	1593599364131	1593599364131
REQUEST	277		Get Balance	1593599360353	1593599364141	OK	 
USER	Balance	1413	START	1593599364141	1593599364141
USER	Balance	1415	START	1593599364141	1593599364141
USER	Balance	1414	START	1593599364141	1593599364141
USER	Balance	277	END	1593599360352	1593599364141
REQUEST	272		Get Balance	1593599360374	1593599364151	OK	 
USER	Balance	1417	START	1593599364152	1593599364152
USER	Balance	1416	START	1593599364152	1593599364152
USER	Balance	272	END	1593599360331	1593599364152
USER	Balance	1418	START	1593599364152	1593599364152
USER	Balance	1420	START	1593599364162	1593599364162
USER	Balance	1421	START	1593599364162	1593599364162
USER	Balance	1419	START	1593599364162	1593599364162
USER	Balance	1424	START	1593599364173	1593599364173
USER	Balance	1423	START	1593599364173	1593599364173
USER	Balance	1422	START	1593599364173	1593599364173
USER	Balance	1427	START	1593599364183	1593599364183
USER	Balance	1426	START	1593599364183	1593599364183
USER	Balance	1425	START	1593599364183	1593599364183
REQUEST	285		Get Balance	1593599360374	1593599364183	OK	 
USER	Balance	285	END	1593599360373	1593599364184
REQUEST	281		Get Balance	1593599360364	1593599364186	OK	 
USER	Balance	281	END	1593599360363	1593599364187
USER	Balance	1429	START	1593599364188	1593599364188
USER	Balance	1430	START	1593599364188	1593599364188
USER	Balance	1428	START	1593599364188	1593599364188
USER	Balance	1433	START	1593599364198	1593599364198
USER	Balance	1431	START	1593599364198	1593599364198
USER	Balance	1432	START	1593599364198	1593599364198
USER	Balance	1434	START	1593599364208	1593599364208
USER	Balance	1435	START	1593599364208	1593599364208
USER	Balance	1436	START	1593599364208	1593599364208
USER	Balance	1438	START	1593599364219	1593599364219
USER	Balance	1437	START	1593599364219	1593599364219
USER	Balance	1439	START	1593599364219	1593599364219
REQUEST	266		Get Balance	1593599360357	1593599364226	OK	 
USER	Balance	266	END	1593599360309	1593599364227
REQUEST	280		Get Balance	1593599360363	1593599364228	OK	 
USER	Balance	280	END	1593599360363	1593599364228
USER	Balance	1441	START	1593599364229	1593599364229
USER	Balance	1442	START	1593599364229	1593599364229
USER	Balance	1440	START	1593599364229	1593599364229
USER	Balance	1445	START	1593599364240	1593599364240
USER	Balance	1443	START	1593599364240	1593599364240
USER	Balance	1444	START	1593599364240	1593599364240
USER	Balance	1448	START	1593599364251	1593599364251
USER	Balance	1447	START	1593599364251	1593599364251
USER	Balance	1446	START	1593599364251	1593599364251
USER	Balance	1449	START	1593599364262	1593599364262
USER	Balance	1450	START	1593599364262	1593599364262
USER	Balance	1451	START	1593599364262	1593599364262
USER	Balance	1452	START	1593599364272	1593599364272
USER	Balance	1453	START	1593599364272	1593599364272
USER	Balance	1454	START	1593599364272	1593599364272
USER	Balance	1455	START	1593599364283	1593599364283
USER	Balance	1456	START	1593599364283	1593599364283
USER	Balance	1457	START	1593599364283	1593599364283
REQUEST	282		Get Balance	1593599360364	1593599364284	OK	 
USER	Balance	282	END	1593599360363	1593599364285
REQUEST	287		Get Balance	1593599360380	1593599364293	OK	 
USER	Balance	287	END	1593599360378	1593599364293
USER	Balance	1458	START	1593599364294	1593599364294
USER	Balance	1460	START	1593599364294	1593599364294
USER	Balance	1459	START	1593599364294	1593599364294
USER	Balance	1462	START	1593599364298	1593599364298
USER	Balance	1461	START	1593599364298	1593599364298
USER	Balance	1463	START	1593599364298	1593599364298
USER	Balance	1466	START	1593599364308	1593599364308
USER	Balance	1465	START	1593599364308	1593599364308
USER	Balance	1464	START	1593599364308	1593599364308
REQUEST	284		Get Balance	1593599360374	1593599364310	OK	 
USER	Balance	284	END	1593599360373	1593599364311
USER	Balance	1469	START	1593599364319	1593599364319
USER	Balance	1467	START	1593599364319	1593599364319
USER	Balance	1468	START	1593599364319	1593599364319
REQUEST	286		Get Balance	1593599360380	1593599364328	OK	 
USER	Balance	286	END	1593599360378	1593599364328
USER	Balance	1470	START	1593599364330	1593599364330
USER	Balance	1472	START	1593599364330	1593599364330
USER	Balance	1471	START	1593599364330	1593599364330
REQUEST	291		Get Balance	1593599360389	1593599364335	OK	 
USER	Balance	291	END	1593599360388	1593599364335
USER	Balance	1474	START	1593599364341	1593599364341
USER	Balance	1473	START	1593599364341	1593599364341
USER	Balance	1475	START	1593599364341	1593599364341
USER	Balance	1476	START	1593599364351	1593599364351
USER	Balance	1478	START	1593599364351	1593599364351
USER	Balance	1477	START	1593599364351	1593599364351
REQUEST	283		Get Balance	1593599360374	1593599364352	OK	 
USER	Balance	283	END	1593599360373	1593599364353
REQUEST	265		Get Balance	1593599360392	1593599364355	OK	 
USER	Balance	265	END	1593599360309	1593599364356
USER	Balance	1480	START	1593599364362	1593599364362
USER	Balance	1481	START	1593599364362	1593599364362
USER	Balance	1479	START	1593599364362	1593599364362
REQUEST	290		Get Balance	1593599360389	1593599364364	OK	 
USER	Balance	290	END	1593599360388	1593599364365
USER	Balance	1483	START	1593599364373	1593599364373
USER	Balance	1482	START	1593599364373	1593599364373
USER	Balance	1484	START	1593599364373	1593599364373
REQUEST	293		Get Balance	1593599360400	1593599364382	OK	 
USER	Balance	1486	START	1593599364383	1593599364383
USER	Balance	1485	START	1593599364383	1593599364383
USER	Balance	1487	START	1593599364383	1593599364383
USER	Balance	293	END	1593599360399	1593599364383
USER	Balance	1488	START	1593599364393	1593599364393
USER	Balance	1489	START	1593599364393	1593599364393
USER	Balance	1490	START	1593599364393	1593599364393
REQUEST	288		Get Balance	1593599360409	1593599364397	OK	 
USER	Balance	288	END	1593599360378	1593599364397
USER	Balance	1492	START	1593599364398	1593599364398
USER	Balance	1493	START	1593599364398	1593599364398
USER	Balance	1491	START	1593599364398	1593599364398
USER	Balance	1496	START	1593599364409	1593599364409
USER	Balance	1495	START	1593599364409	1593599364409
USER	Balance	1494	START	1593599364409	1593599364409
REQUEST	292		Get Balance	1593599360400	1593599364417	OK	 
REQUEST	297		Get Balance	1593599360411	1593599364417	OK	 
USER	Balance	297	END	1593599360410	1593599364417
USER	Balance	292	END	1593599360399	1593599364417
USER	Balance	1498	START	1593599364419	1593599364419
USER	Balance	1499	START	1593599364419	1593599364419
USER	Balance	1497	START	1593599364419	1593599364419
USER	Balance	1502	START	1593599364429	1593599364429
USER	Balance	1500	START	1593599364429	1593599364429
USER	Balance	1501	START	1593599364429	1593599364429
REQUEST	295		Get Balance	1593599360410	1593599364438	OK	 
USER	Balance	295	END	1593599360410	1593599364439
USER	Balance	1505	START	1593599364439	1593599364439
USER	Balance	1504	START	1593599364439	1593599364439
USER	Balance	1503	START	1593599364439	1593599364439
USER	Balance	1506	START	1593599364450	1593599364450
USER	Balance	1508	START	1593599364450	1593599364450
USER	Balance	1507	START	1593599364450	1593599364450
USER	Balance	1509	START	1593599364461	1593599364461
USER	Balance	1510	START	1593599364461	1593599364461
USER	Balance	1511	START	1593599364461	1593599364461
USER	Balance	1512	START	1593599364471	1593599364471
USER	Balance	1514	START	1593599364471	1593599364471
USER	Balance	1513	START	1593599364471	1593599364471
REQUEST	296		Get Balance	1593599360411	1593599364475	OK	 
USER	Balance	296	END	1593599360410	1593599364475
REQUEST	299		Get Balance	1593599360422	1593599364479	OK	 
USER	Balance	299	END	1593599360421	1593599364480
USER	Balance	1516	START	1593599364482	1593599364482
USER	Balance	1515	START	1593599364482	1593599364482
USER	Balance	1517	START	1593599364482	1593599364482
REQUEST	289		Get Balance	1593599360389	1593599364491	OK	 
USER	Balance	1520	START	1593599364492	1593599364492
USER	Balance	1518	START	1593599364492	1593599364492
USER	Balance	289	END	1593599360388	1593599364492
USER	Balance	1519	START	1593599364492	1593599364492
REQUEST	274		Get Balance	1593599360425	1593599364503	OK	 
USER	Balance	274	END	1593599360342	1593599364503
USER	Balance	1521	START	1593599364503	1593599364503
USER	Balance	1523	START	1593599364504	1593599364504
USER	Balance	1522	START	1593599364504	1593599364504
USER	Balance	1524	START	1593599364508	1593599364508
USER	Balance	1526	START	1593599364508	1593599364508
USER	Balance	1525	START	1593599364508	1593599364508
USER	Balance	1528	START	1593599364518	1593599364518
USER	Balance	1527	START	1593599364518	1593599364518
USER	Balance	1529	START	1593599364518	1593599364518
USER	Balance	1532	START	1593599364529	1593599364529
USER	Balance	1530	START	1593599364529	1593599364529
USER	Balance	1531	START	1593599364529	1593599364529
USER	Balance	1534	START	1593599364540	1593599364540
USER	Balance	1533	START	1593599364540	1593599364540
USER	Balance	1535	START	1593599364550	1593599364550
USER	Balance	1536	START	1593599364550	1593599364550
USER	Balance	1537	START	1593599364550	1593599364550
USER	Balance	1539	START	1593599364561	1593599364561
USER	Balance	1538	START	1593599364561	1593599364561
USER	Balance	1540	START	1593599364561	1593599364561
USER	Balance	1542	START	1593599364572	1593599364572
USER	Balance	1541	START	1593599364572	1593599364572
USER	Balance	1543	START	1593599364572	1593599364572
REQUEST	298		Get Balance	1593599360421	1593599364581	OK	 
USER	Balance	298	END	1593599360421	1593599364581
USER	Balance	1546	START	1593599364582	1593599364582
USER	Balance	1545	START	1593599364582	1593599364582
USER	Balance	1544	START	1593599364582	1593599364582
REQUEST	275		Get Balance	1593599360425	1593599364592	OK	 
USER	Balance	275	END	1593599360342	1593599364592
USER	Balance	1547	START	1593599364592	1593599364592
USER	Balance	1548	START	1593599364592	1593599364592
USER	Balance	1549	START	1593599364592	1593599364592
REQUEST	302		Get Balance	1593599360432	1593599364598	OK	 
USER	Balance	302	END	1593599360431	1593599364598
USER	Balance	1550	START	1593599364602	1593599364602
USER	Balance	1551	START	1593599364602	1593599364602
USER	Balance	1552	START	1593599364602	1593599364602
USER	Balance	1554	START	1593599364612	1593599364612
USER	Balance	1553	START	1593599364612	1593599364612
USER	Balance	1555	START	1593599364612	1593599364612
USER	Balance	1557	START	1593599364623	1593599364623
USER	Balance	1558	START	1593599364623	1593599364623
USER	Balance	1556	START	1593599364623	1593599364623
REQUEST	300		Get Balance	1593599360421	1593599364627	OK	 
USER	Balance	300	END	1593599360421	1593599364627
USER	Balance	1559	START	1593599364633	1593599364633
USER	Balance	1560	START	1593599364633	1593599364633
USER	Balance	1561	START	1593599364633	1593599364633
REQUEST	301		Get Balance	1593599360433	1593599364635	OK	 
USER	Balance	301	END	1593599360431	1593599364635
USER	Balance	1562	START	1593599364638	1593599364638
USER	Balance	1563	START	1593599364638	1593599364638
USER	Balance	1564	START	1593599364638	1593599364638
REQUEST	303		Get Balance	1593599360433	1593599364646	OK	 
USER	Balance	303	END	1593599360431	1593599364646
USER	Balance	1567	START	1593599364649	1593599364649
USER	Balance	1565	START	1593599364649	1593599364649
USER	Balance	1566	START	1593599364649	1593599364649
USER	Balance	1569	START	1593599364660	1593599364660
USER	Balance	1568	START	1593599364660	1593599364660
USER	Balance	1570	START	1593599364660	1593599364660
REQUEST	306		Get Balance	1593599360442	1593599364663	OK	 
USER	Balance	306	END	1593599360442	1593599364664
USER	Balance	1572	START	1593599364671	1593599364671
USER	Balance	1573	START	1593599364671	1593599364671
USER	Balance	1571	START	1593599364670	1593599364670
USER	Balance	1575	START	1593599364681	1593599364681
USER	Balance	1574	START	1593599364681	1593599364681
USER	Balance	1576	START	1593599364681	1593599364681
USER	Balance	1577	START	1593599364692	1593599364692
USER	Balance	1579	START	1593599364692	1593599364692
USER	Balance	1578	START	1593599364692	1593599364692
USER	Balance	1580	START	1593599364703	1593599364703
USER	Balance	1581	START	1593599364703	1593599364703
USER	Balance	1582	START	1593599364703	1593599364703
USER	Balance	1584	START	1593599364713	1593599364713
USER	Balance	1585	START	1593599364713	1593599364713
USER	Balance	1583	START	1593599364713	1593599364713
REQUEST	307		Get Balance	1593599360453	1593599364715	OK	 
USER	Balance	307	END	1593599360453	1593599364715
USER	Balance	1587	START	1593599364718	1593599364718
USER	Balance	1586	START	1593599364718	1593599364718
USER	Balance	1588	START	1593599364718	1593599364718
REQUEST	305		Get Balance	1593599360443	1593599364724	OK	 
USER	Balance	305	END	1593599360442	1593599364725
REQUEST	304		Get Balance	1593599360443	1593599364726	OK	 
USER	Balance	304	END	1593599360442	1593599364726
USER	Balance	1589	START	1593599364728	1593599364728
USER	Balance	1590	START	1593599364728	1593599364728
USER	Balance	1591	START	1593599364728	1593599364728
REQUEST	294		Get Balance	1593599360441	1593599364732	OK	 
USER	Balance	294	END	1593599360399	1593599364732
USER	Balance	1592	START	1593599364739	1593599364739
USER	Balance	1593	START	1593599364739	1593599364739
USER	Balance	1594	START	1593599364739	1593599364739
USER	Balance	1596	START	1593599364750	1593599364750
USER	Balance	1595	START	1593599364750	1593599364750
USER	Balance	1597	START	1593599364750	1593599364750
USER	Balance	1599	START	1593599364760	1593599364760
USER	Balance	1598	START	1593599364760	1593599364760
USER	Balance	1600	START	1593599364760	1593599364760
USER	Balance	1602	START	1593599364771	1593599364771
USER	Balance	1601	START	1593599364771	1593599364771
USER	Balance	1603	START	1593599364771	1593599364771
USER	Balance	1606	START	1593599364781	1593599364781
USER	Balance	1605	START	1593599364781	1593599364781
USER	Balance	1604	START	1593599364781	1593599364781
REQUEST	308		Get Balance	1593599360454	1593599364783	OK	 
USER	Balance	308	END	1593599360453	1593599364783
REQUEST	309		Get Balance	1593599360453	1593599364785	OK	 
USER	Balance	309	END	1593599360453	1593599364786
USER	Balance	1608	START	1593599364792	1593599364792
USER	Balance	1607	START	1593599364792	1593599364792
USER	Balance	1609	START	1593599364792	1593599364792
USER	Balance	1610	START	1593599364803	1593599364803
USER	Balance	1612	START	1593599364803	1593599364803
USER	Balance	1611	START	1593599364803	1593599364803
REQUEST	312		Get Balance	1593599360475	1593599364805	OK	 
USER	Balance	312	END	1593599360464	1593599364805
USER	Balance	1614	START	1593599364813	1593599364813
USER	Balance	1613	START	1593599364813	1593599364813
USER	Balance	1615	START	1593599364813	1593599364813
USER	Balance	1616	START	1593599364818	1593599364818
USER	Balance	1617	START	1593599364818	1593599364818
USER	Balance	1618	START	1593599364818	1593599364818
USER	Balance	1619	START	1593599364828	1593599364828
USER	Balance	1621	START	1593599364828	1593599364828
USER	Balance	1620	START	1593599364828	1593599364828
REQUEST	315		Get Balance	1593599360477	1593599364834	OK	 
USER	Balance	315	END	1593599360475	1593599364834
USER	Balance	1623	START	1593599364839	1593599364839
USER	Balance	1622	START	1593599364839	1593599364839
USER	Balance	1624	START	1593599364839	1593599364839
USER	Balance	1626	START	1593599364850	1593599364850
USER	Balance	1627	START	1593599364850	1593599364850
USER	Balance	1625	START	1593599364850	1593599364850
USER	Balance	1628	START	1593599364860	1593599364860
USER	Balance	1629	START	1593599364860	1593599364860
USER	Balance	1630	START	1593599364860	1593599364860
USER	Balance	1631	START	1593599364870	1593599364870
USER	Balance	1633	START	1593599364870	1593599364870
USER	Balance	1632	START	1593599364870	1593599364870
REQUEST	313		Get Balance	1593599360477	1593599364880	OK	 
USER	Balance	313	END	1593599360475	1593599364880
USER	Balance	1635	START	1593599364880	1593599364880
USER	Balance	1634	START	1593599364880	1593599364880
USER	Balance	1636	START	1593599364880	1593599364880
USER	Balance	1638	START	1593599364891	1593599364891
USER	Balance	1639	START	1593599364891	1593599364891
USER	Balance	1637	START	1593599364891	1593599364891
REQUEST	311		Get Balance	1593599360476	1593599364897	OK	 
USER	Balance	311	END	1593599360464	1593599364898
REQUEST	310		Get Balance	1593599360476	1593599364901	OK	 
USER	Balance	310	END	1593599360464	1593599364901
USER	Balance	1640	START	1593599364901	1593599364901
USER	Balance	1641	START	1593599364901	1593599364901
USER	Balance	1642	START	1593599364901	1593599364901
USER	Balance	1643	START	1593599364911	1593599364911
USER	Balance	1644	START	1593599364911	1593599364911
USER	Balance	1645	START	1593599364911	1593599364911
USER	Balance	1646	START	1593599364922	1593599364922
USER	Balance	1647	START	1593599364922	1593599364922
USER	Balance	1648	START	1593599364922	1593599364922
USER	Balance	1649	START	1593599364933	1593599364933
USER	Balance	1651	START	1593599364933	1593599364933
USER	Balance	1650	START	1593599364933	1593599364933
USER	Balance	1653	START	1593599364943	1593599364943
USER	Balance	1652	START	1593599364943	1593599364943
USER	Balance	1654	START	1593599364943	1593599364943
USER	Balance	1656	START	1593599364948	1593599364948
USER	Balance	1655	START	1593599364948	1593599364948
USER	Balance	1657	START	1593599364948	1593599364948
USER	Balance	1658	START	1593599364959	1593599364959
USER	Balance	1659	START	1593599364959	1593599364959
USER	Balance	1660	START	1593599364959	1593599364959
USER	Balance	1662	START	1593599364970	1593599364970
USER	Balance	1661	START	1593599364970	1593599364970
USER	Balance	1663	START	1593599364970	1593599364970
REQUEST	318		Get Balance	1593599360479	1593599364972	OK	 
USER	Balance	318	END	1593599360478	1593599364973
REQUEST	314		Get Balance	1593599360478	1593599364976	OK	 
USER	Balance	314	END	1593599360475	1593599364977
USER	Balance	1664	START	1593599364980	1593599364980
USER	Balance	1665	START	1593599364980	1593599364980
USER	Balance	1666	START	1593599364980	1593599364980
REQUEST	317		Get Balance	1593599360479	1593599364986	OK	 
USER	Balance	317	END	1593599360478	1593599364986
REQUEST	316		Get Balance	1593599360479	1593599364988	OK	 
USER	Balance	316	END	1593599360478	1593599364989
USER	Balance	1668	START	1593599364991	1593599364991
USER	Balance	1669	START	1593599364991	1593599364991
USER	Balance	1667	START	1593599364991	1593599364991
