RUN	bank.BalanceSimulation	balancesimulation	1593599353025	 	3.3.1
USER	Balance	91	START	1593599359728	1593599359728
USER	Balance	93	START	1593599359728	1593599359728
USER	Balance	92	START	1593599359728	1593599359728
USER	Balance	94	START	1593599359739	1593599359739
USER	Balance	95	START	1593599359739	1593599359739
USER	Balance	96	START	1593599359739	1593599359739
USER	Balance	97	START	1593599359749	1593599359749
USER	Balance	99	START	1593599359749	1593599359749
USER	Balance	98	START	1593599359749	1593599359749
USER	Balance	102	START	1593599359761	1593599359761
USER	Balance	100	START	1593599359760	1593599359760
USER	Balance	101	START	1593599359760	1593599359760
USER	Balance	104	START	1593599359771	1593599359771
USER	Balance	105	START	1593599359771	1593599359771
USER	Balance	103	START	1593599359771	1593599359771
USER	Balance	106	START	1593599359781	1593599359781
USER	Balance	107	START	1593599359781	1593599359781
USER	Balance	108	START	1593599359781	1593599359781
USER	Balance	110	START	1593599359792	1593599359792
USER	Balance	109	START	1593599359792	1593599359792
USER	Balance	111	START	1593599359792	1593599359792
USER	Balance	112	START	1593599359803	1593599359803
USER	Balance	113	START	1593599359803	1593599359803
USER	Balance	114	START	1593599359803	1593599359803
USER	Balance	115	START	1593599359814	1593599359814
USER	Balance	116	START	1593599359814	1593599359814
USER	Balance	117	START	1593599359814	1593599359814
USER	Balance	120	START	1593599359818	1593599359818
USER	Balance	118	START	1593599359818	1593599359818
USER	Balance	119	START	1593599359818	1593599359818
USER	Balance	121	START	1593599359828	1593599359828
USER	Balance	123	START	1593599359828	1593599359828
USER	Balance	122	START	1593599359828	1593599359828
USER	Balance	126	START	1593599359839	1593599359839
USER	Balance	124	START	1593599359839	1593599359839
USER	Balance	125	START	1593599359839	1593599359839
USER	Balance	128	START	1593599359850	1593599359850
USER	Balance	127	START	1593599359850	1593599359850
USER	Balance	129	START	1593599359850	1593599359850
USER	Balance	130	START	1593599359860	1593599359860
USER	Balance	131	START	1593599359860	1593599359860
USER	Balance	132	START	1593599359860	1593599359860
USER	Balance	134	START	1593599359871	1593599359871
USER	Balance	135	START	1593599359871	1593599359871
USER	Balance	133	START	1593599359871	1593599359871
USER	Balance	137	START	1593599359882	1593599359882
USER	Balance	138	START	1593599359882	1593599359882
USER	Balance	136	START	1593599359882	1593599359882
USER	Balance	141	START	1593599359892	1593599359892
USER	Balance	140	START	1593599359892	1593599359892
USER	Balance	139	START	1593599359892	1593599359892
USER	Balance	143	START	1593599359903	1593599359903
USER	Balance	144	START	1593599359903	1593599359903
USER	Balance	142	START	1593599359903	1593599359903
REQUEST	23		Get Balance	1593599359504	1593599359904	OK	 
